ProductKey,OrderDate,ShipDate,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
310,1-Jan-2014,08-Jan-14,21768,6,SO43697,2,"1,789.14","2,171.29","3,578.27",286.26
346,1-Jan-2014,08-Jan-14,28389,7,SO43698,2,"1,700.00","1,912.15","3,399.99",272
346,1-Jan-2014,08-Jan-14,25863,1,SO43699,2,"1,700.00","1,912.15","3,399.99",272
336,1-Jan-2014,08-Jan-14,14501,4,SO43700,2,349.55,413.15,699.1,55.93
346,1-Jan-2014,08-Jan-14,11003,9,SO43701,2,"1,700.00","1,912.15","3,399.99",272
311,2-Jan-2014,09-Jan-14,27645,4,SO43702,4,894.57,"2,171.29","3,578.27",286.26
310,2-Jan-2014,09-Jan-14,16624,9,SO43703,4,894.57,"2,171.29","3,578.27",286.26
351,2-Jan-2014,09-Jan-14,11005,9,SO43704,4,843.75,"1,898.09","3,374.99",270
344,2-Jan-2014,09-Jan-14,11011,9,SO43705,4,850,"1,912.15","3,399.99",272
312,3-Jan-2014,10-Jan-14,27621,4,SO43706,1,"3,578.27","2,171.29","3,578.27",286.26
312,3-Jan-2014,10-Jan-14,27616,4,SO43707,1,"3,578.27","2,171.29","3,578.27",286.26
330,3-Jan-2014,10-Jan-14,20042,10,SO43708,1,699.1,413.15,699.1,55.93
313,3-Jan-2014,10-Jan-14,16351,9,SO43709,1,"3,578.27","2,171.29","3,578.27",286.26
314,3-Jan-2014,10-Jan-14,16517,9,SO43710,1,"3,578.27","2,171.29","3,578.27",286.26
314,4-Jan-2014,11-Jan-14,27606,1,SO43711,1,"3,578.27","2,171.29","3,578.27",286.26
311,4-Jan-2014,11-Jan-14,13513,8,SO43712,1,"3,578.27","2,171.29","3,578.27",286.26
310,5-Jan-2014,12-Jan-14,27601,4,SO43713,1,"3,578.27","2,171.29","3,578.27",286.26
311,5-Jan-2014,12-Jan-14,13591,10,SO43714,1,"3,578.27","2,171.29","3,578.27",286.26
314,5-Jan-2014,12-Jan-14,16483,9,SO43715,1,"3,578.27","2,171.29","3,578.27",286.26
311,5-Jan-2014,12-Jan-14,16529,9,SO43716,1,"3,578.27","2,171.29","3,578.27",286.26
336,5-Jan-2014,12-Jan-14,25249,9,SO43717,1,699.1,413.15,699.1,55.93
311,6-Jan-2014,13-Jan-14,27668,1,SO43718,1,"3,578.27","2,171.29","3,578.27",286.26
312,6-Jan-2014,13-Jan-14,27612,4,SO43719,1,"3,578.27","2,171.29","3,578.27",286.26
311,6-Jan-2014,13-Jan-14,13264,8,SO43720,1,"3,578.27","2,171.29","3,578.27",286.26
310,6-Jan-2014,13-Jan-14,13590,10,SO43721,1,"3,578.27","2,171.29","3,578.27",286.26
312,7-Jan-2014,14-Jan-14,13581,10,SO43722,1,"3,578.27","2,171.29","3,578.27",286.26
332,7-Jan-2014,14-Jan-14,14520,1,SO43723,1,699.1,413.15,699.1,55.93
311,7-Jan-2014,14-Jan-14,16520,9,SO43724,1,"3,578.27","2,171.29","3,578.27",286.26
311,8-Jan-2014,15-Jan-14,13258,8,SO43725,2,"1,789.14","2,171.29","3,578.27",286.26
332,8-Jan-2014,15-Jan-14,14560,4,SO43726,2,349.55,413.15,699.1,55.93
311,8-Jan-2014,15-Jan-14,16607,9,SO43727,2,"1,789.14","2,171.29","3,578.27",286.26
313,9-Jan-2014,16-Jan-14,27666,4,SO43728,4,894.57,"2,171.29","3,578.27",286.26
346,9-Jan-2014,16-Jan-14,11238,10,SO43729,4,850,"1,912.15","3,399.99",272
